StartingTime;Actuall;Archived;Deleted
06.06.2023 21:10:19;8;267;0
06.06.2023 21:11:17;8;267;0
07.06.2023 19:55:30;8;267;0
07.06.2023 20:01:58;8;267;0
07.06.2023 20:57:30;8;267;0
07.06.2023 21:03:33;8;267;0
07.06.2023 21:20:01;8;267;0
07.06.2023 21:31:00;8;267;0
07.06.2023 21:32:00;8;267;0
07.06.2023 21:39:37;8;267;0
